date,header,time,description,date_entity
06.02.18,יום דמים בכבישי ישראל: שלושה הרוגים ו-5 פצועים קשה ,20:08,"נער בן 15 נהרג בהתהפכות טרקטורון בגליל, גבר כבן 70 נהרג בתאונה סמוך לקריית גת ורוכב אופניים בן 36 נהרג מפגיעת רכב בשדרות רוקח בתל אביב. ","כתבי ynet  (תאריך: 06.02.18, שעה: 20:08) "
06.02.18,יום קטלני בכבישים: הרוג וארבעה פצועים קשה-אנוש ,14:30,בכביש 35 סמוך לקריית גת נהרג גבר כבן 70 וגבר אחר כבן 60 נפצע קשה. נבדק חשד כי אחד מכלי הרכב ביצע עקיפה בדרך לא פנויה. בראש העין נפצע בן 50 ,"מתן צורי, רענן בן צור ואיתי בלומנטל  (תאריך: 06.02.18, שעה: 14:30) "
05.02.18,"אמהּ של הנערה שנהרגה על הטרקטורון: ""המשטרה לא מעדכנת אותנו. אני ",00:18,"לפני חודש וחצי עלתה סתיו לוי (17) לנסיעה שהסתיימה בהתהפכות קטלנית במושב עולש. באולפן ynet הפנתה אמה אצבע מאשימה: ""אני לא יודעת כלום על ","כתבי ynet  (תאריך: 05.02.18, שעה: 00:18)  "
04.02.18,"נמל ת""א: בת שנתיים נהרגה מפגיעת רכב ",13:02,"פרמדיקים של מד""א פינו את הפעוטה שנפגעה מרכב בנמל תל אביב לבית החולים איכילוב בעיר תוך ביצוע פעולות החייאה ובמצב אנוש, אך שם נקבע מותה ","איתי בלומנטל ורותם אליזרע  (תאריך: 04.02.18, שעה: 13:02)  "
31.01.18,"נמצא פצוע על הכביש ונאבק להוכיח שמדובר ב""פגע וברח"" ",22:21,"הולך רגל נמצא ברחוב רמז בעכו ונלקח לטיפול רפואי. קרן ""קרנית"" סירבה לפצות אותו בטענה שהכיר את הנהג הפוגע. מה נקבע בביהמ""ש? ","עו""ד יוסף גבאי  (תאריך: 31.01.18, שעה: 22:21) "
25.01.18,"האבא שאיבד שניים מילדיו בתאונה: ""בגוף אני בסדר, אבל יש לי חור ",17:27,"אוהד ליפניק, שאיבד שלשום בתאונה קטלנית בשומרון את שני ילדיו, אורי בת ה-12 ורואי בן ה-8, דיבר לראשונה עם כלי התקשורת. ""ראיתי שיש לי שני ילדים ","רענן בן צור  (תאריך: 25.01.18, שעה: 17:27)  "
24.01.18,התאונה בשומרון: הרכב הפלסטיני נסע במהירות ואיבד שליטה ,08:27,"מחקירה ראשונית של התאונה שבה נהרגו שניים מילדי משפחת ליפניק משבי שומרון עולה כי נהג הרכב הפלסטיני שנהרג בתאונה ככל הנראה נסע במהירות מופרזת, ","אלישע בן קימון ורענן בן צור  (תאריך: 24.01.18, שעה: 08:27)  "
14.01.18,תאונה מול המצלמה: בן 15 על אופניים חשמליים נפגע מרכב ,18:47,"הנער, שנכנס לצומת בבאר שבע בלי לציית לתמרור ""תן זכות קדימה"" , נפצע בינוני מפגיעת רכב. קצין באגף התנועה: ""מספרי הנפגעים בתאונות כאלה הולכים ","אילנה קוריאל  (תאריך: 14.01.18, שעה: 18:47)  "
12.01.18,"טרגדיה ליד ביה""ח בילינסון: סניטר דרס למוות אחות ",00:19,"שרה אסנת אטיאס, אחות בבית החולים, נפצעה קשה מפגיעת רכב בדרכה לעבודה. הנהג הפוגע, עובד במקום, היה אף הוא בדרכו למוסד הרפואי. שלשום נקבע מותה ","רענן בן צור ומתן צורי  (תאריך: 12.01.18, שעה: 00:19)  "
11.01.18,נזק נפשי: 250 אלף ש' להורים שבנם נהרג בתאונה  ,22:40,"חברת ""כלל"" סירבה לפצות את בני הזוג בטענה שהפגיעה הנפשית שלהם אינה חמורה מספיק כ""נפגעים משניים"". אבל בית המשפט חשב אחרת  ","עו""ד דני בר שליט  (תאריך: 11.01.18, שעה: 22:40) "
03.01.18,ראו הוזהרתם: רשימת הכבישים החד-מסלוליים המסוכנים נחשפת ,00:12,"מחקר בטכניון עבור ""אור ירוק"" מגלה כי בין 2014 ל-2016 נהרגו 207 בני אדם בכבישים עם נתיב אחד ללא הפרדה. מנכ""ל העמותה: ""נסיעה בכביש כזה - הימור ","אסף זגריזק  (תאריך: 03.01.18, שעה: 00:12)  "
02.01.18,הבוקר: הרוג בתאונה חזיתית בכביש 65 ,08:45,"פרמדיקים של מד""א פינו לבית החולים גבר כבן 40 שנהג ברכב פרטי ונפצע אנושות בתאונה עם טיולית. בבית החולים נקבע מותו. אתמול נהרג בן 35 בתאונה ","חסן שעלאן  (תאריך: 02.01.18, שעה: 08:45) "
31.12.17,ירידה במספר ההרוגים בכבישים ב-2017 ,16:33,"מנתוני הרשות הלאומית לבטיחות בדרכים, שאינם סופיים, עולה כי 362 בני אדם נהרגו בתאונות דרכים, לעומת 377 אשתקד. בין הקורבנות 61 רוכבי אופנוע - ","אסף זגריזק  (תאריך: 31.12.17, שעה: 16:33)  "
29.12.17,הדיור בראש והצעירים בתחתית: אלו ההחלטות שהממשלה קיבלה ב-2017 ,08:41,"326 מההחלטות שקיבלה הממשלה עסקו בנושאי חקיקה, 25 עסקו בנסיעות לחו""ל - 13 מהן של ראש הממשלה נתניהו. בתחתית: חינוך, תחבורה ובטיחות בדרכים, ","איתמר אייכנר  (תאריך: 29.12.17, שעה: 08:41) "
26.12.17,הלילה: הרוג בהתהפכות עצמית בכביש 6 ,07:05,"רכב פרטי התהפך לפנות בוקר סמוך לבית קמה בכביש 6. מותו של הנהג, בן 41, נקבע במקום על-ידי פרמדיקים של מד""א. הבוקר: פצועה קשה מפגיעת רכב ","אילנה קוריאל  (תאריך: 26.12.17, שעה: 07:05) "
18.12.17,נער נהרג בהתהפכות רכב בכביש הערבה ,18:44,"לפי המשטרה, רכב פרטי התהפך מסיבה שאינה ברורה סמוך לקיבוץ יהל. אישה בת 40 וצעיר בן 19 נפצעו קשה וקל ","אילנה קוריאל ומאיר אוחיון  (תאריך: 18.12.17, שעה: 18:44)  "
18.12.17,"אסון הטרקטורון: הנערה הובאה למנוחות, החשוד שוחרר למעצר בית ",16:55,בני משפחה ומכרים ליוו את סתיו לוי בת ה-17 בדרכה האחרונה לאחר שנהרגה בהתהפכות הטרקטורון בשבת האחרונה. הנער שחשוד בהריגתה שוחרר למעצר בית ,"רענן בן צור  (תאריך: 18.12.17, שעה: 16:55)  "
17.12.17,שלוש נשים נפצעו קשה בתאונה חזיתית בדרום ,15:58,"אחרי התאונה בין שני כלי רכב ליד מושב אמציה פונו שתיים מהפצועות במסוק לבתי חולים, השלישית פונתה באמבולנס ","מתן צורי  (תאריך: 17.12.17, שעה: 15:58)  "
16.12.17,נערה נהרגה בהתהפכות טרקטורון בעמק חפר ,06:13,"טרקטורון ובו נער ושתי נערות, שלושתם בני 17, התהפך בשטח פתוח סמוך למושב עולש. מחקירה ראשונית עולה כי הנער נהג בטרקטורון ששייך לאביו, והתהפך ","רענן בן צור  (תאריך: 16.12.17, שעה: 06:13)  "
13.12.17,לא האט ולא סטה: נהג אוטובוס מואשם בגרימת מוות ברשלנות ,11:21,נהג בן 36 מירושלים המועסק בחברת אפיקים מואשם כי דרס למוות נכה בן 78 שחצה מעבר חציה בפתח תקווה בחודש אוגוסט. בכתב האישום נטען כי למרות שדה ,"רענן בן צור  (תאריך: 13.12.17, שעה: 11:21) "
12.12.17,תוך חצי שעה: שני רוכבי אופנוע נפצעו קשה ,13:58,ברחוב וינגייט בהרצליה נפגע רוכב אופנוע בן 25 מרכב ופונה לבית החולים בילינסון במצב קשה. כחצי שעה מאוחר יותר נפגע רוכב אופנוע כבן 35 מפגיעת ,"רענן בן צור  (תאריך: 12.12.17, שעה: 13:58) "
09.12.17,"נערה נהרגה מפגיעת רכבת בעכו, פעוט נדרס למוות בנגב ",00:36,"שתי תאונות קטלניות תוך פחות משעה: בת 17 שהתקרבה למסילה מסיבה שאינה ברורה נהרגה מפגיעת רכבת שעשתה דרכה מתל אביב לנהריה. המשטרה: ""מדובר בתאונת ","אחיה ראב""ד ואילנה קוריאל  (תאריך: 09.12.17, שעה: 00:36)  "
06.12.17,הבוקר: שני פצועים קשה בתאונות בצפון ובדרום ,09:14,לפנות בוקר הובאו לבית חולים שלושה צעירים שנפצעו בתאונה עצמית בכפר בענה בגליל. אחד אושפז במצב קשה ושניים במצב בינוני. מאוחר יותר נפצע קשה גבר ,"מתן צורי, חסן שעלאן ואלישע בן קימון  (תאריך: 06.12.17, שעה: 09:14)  "
04.12.17,"תביעה: הנהג הפוגע ליווה אותי לביה""ח - ונעלם ",22:50,"הולך רגל פנה לביהמ""ש עם סיפור חריג על ""פגע וברח"" ודרש לחייב את קרן ""קרנית"" לפצותו. הקרן טענה שהסיפור לא אמין, אבל ביהמ""ש חשב אחרת  ","עו""ד אלדד בר-אל   (תאריך: 04.12.17, שעה: 22:50) "
01.12.17,החודש הקטלני מאז יולי: 25 הרוגים בתאונות בנובמבר ,14:13,הזינוק בחודש האחרון בתאונות דרכים משמעותי לאור העובדה שבחודש נובמבר אשתקד נהרגו 17 בני אדם בלבד. בקרב רוכבי אופנוע נרשם זינוק של 50 אחוזים ,"אסף זגריזק  (תאריך: 01.12.17, שעה: 14:13)  "
29.11.17,"תביעה: ביטוח פקע, AIG לא עדכנה את הנהגת ",23:03,"חידוש הביטוח נשלח לכתובת שגויה ובינתיים תוקפו פג. בזמן הזה הייתה הנהגת מעורבת בתאונה ונדרשה לשלם 1.4 מיליון ש'. מה נקבע בביהמ""ש? ","עו""ד יוסף גרוסמן  (תאריך: 29.11.17, שעה: 23:03) "
28.11.17,בן 4 נדרס למוות בנגב ,13:24,"הילד הובא למרפאה בכסייפה, שם נאלצו לקבוע את מותו. מחקירה ראשונית עולה כי רכב שנסע לאחור פגע בו ","אילנה קוריאל וחסן שעלאן  (תאריך: 28.11.17, שעה: 13:24) "
21.11.17,פראייר מי שלא מתקין ברכב מערכת התרעה / דעה ,16:44,קציני הבטיחות בתעבורה ומנהלי התחבורה בחברות היו בין הראשונים לזהות את הפוטציאל הבטיחותי והכלכלי הטמון בהתקנת מערכות בטיחות מצילות חיים בציים ,"יוחאי זילברברג  (תאריך: 21.11.17, שעה: 16:44) "
20.11.17,"חציה באדום, התנגשות ובריחה. תיעוד תאונה בדרום ",13:18,"ארבעה בני אדם נפצעו, בהם אחד קשה, בתאונה בצומת להבים-רהט בנגב במוצאי שבת. התאונה נקלטה במצלמות וניתן לראות כיצד רכב נוסע במהירות תוך שהוא ","אילנה קוריאל  (תאריך: 20.11.17, שעה: 13:18)  "
20.11.17,נמשך קטל האופנוענים: רוכב נהרג ליד פתח תקווה ,08:49,"רוכב אופנוע בן 44 נפגע מרכב באזור צומת נחלים ליד פתח תקווה. מתחילת השנה נהרגו 337 בני אדם בכבישים, מתוכם 58 רוכבי אופנוע - עלייה של יותר ","רענן בן צור  (תאריך: 20.11.17, שעה: 08:49) "
17.11.17,הרוג ו-3 פצועים בתאונה בצפון ים המלח ,16:23,"רוכב אופנוע כבן 20 נפגע מרכב בכביש 90 סמוך לצומת אלמוג. פרמדיקים של מד""א קבעו את מותו ופינו שלושה פצועים קל מהרכב שהיה מעורב בתאונה, בהם ","אלישע בן קימון ואחיה ראב""ד  (תאריך: 17.11.17, שעה: 16:23)  "
16.11.17,"שוחח עם אימו לפני שנהרג בתאונה: ""הכול בסדר, אל תדאגי"" ",11:55,"רק בשבוע שעבר חגג סמ""ר אריאל הרוש את יום הולדתו ה-21 עם משפחתו. בחודש הבא היה אמור לטוס לאנגליה ולצפות במשחק של קבוצת הכדורגל האהובה עליו. ","איתי בלומנטל  (תאריך: 16.11.17, שעה: 11:55)  "
16.11.17,בדרך לבית הספר: בת 12 נפצעה קשה מפגיעת רכב בחיפה ,08:01,"רכב שנסע ברחוב חורב בעיר פגע בילדה שנחבלה בראשה במעבר חציה. היא פונתה באמבולנס של מד""א לבית החולים כרמל, ומשם הועברה לבית החולים רמב""ם ","אחיה ראב""ד  (תאריך: 16.11.17, שעה: 08:01) "
15.11.17,הרוג ופצוע קשה בתאונה בגליל העליון ,15:26,"טנדר שבו נסעו שני צעירים כבני 20 התנגש במשאית עם משאבת בטון ליד קיבוץ יפתח. מותו של אחד מיושבי הטנדר נקבע בזירה, והצעיר השני, שנפצע קשה, ","אחיה ראב""ד  (תאריך: 15.11.17, שעה: 15:26)  "
15.11.17,הלוויה במקום חתונה: הטרמפ הקטלני של ולריה וסהר ,07:55,"בנהיגה פראית ובמהירות של 120 קמ""ש התנפץ בסופ""ש סיפור אהבתם של ולריה פדרמסר (21) וסהר בן עטר (20). הוא חולץ מהרכב במצב קשה, אבל חברתו, ","גואל בנו   (תאריך: 15.11.17, שעה: 07:55)  "
14.11.17,12:09: אופנוען נהרג בבת ים. 12:10: הולך רגל נהרג בנגב ,13:16,"שתי תאונות קטלניות בתוך זמן קצר, בעת שהכנסת מציינת את שבוע הבטיחות בדרכים: בבת ים נהרג רוכב אופנוע שהחליק והתנגש בעץ, ברהט נדרס למוות צעיר. ","כתבי ynet  (תאריך: 14.11.17, שעה: 13:16)  "
13.11.17,"קריאות נגד השר כץ בטקס הזיכרון לקורבנות התאונות: ""לא עושה כלום"" ",21:42,"שר התחבורה נשא דברים בטקס לזכרם של 33,358 קורבנות תאונות הדרכים, ודבריו הופרעו בקריאות ביניים. אלברט סגל, שבנו, כלתו ונכדו נהרגו בכביש 4 ","איתי בלומנטל  (תאריך: 13.11.17, שעה: 21:42)  "
13.11.17,"יום הזיכרון להרוגי תאונות הדרכים: ""זה בשליטתנו אבל לא עושים די"" ",16:59,"קרוביהם של הרוגי התאונות חיים את הסיוט יום-יום, שעה-שעה. ביום הזיכרון הלאומי להרוגים נחשפים נתונים על 2016: חלקם של הנהגים בקרב ההרוגים היה ","כתבי ynet  (תאריך: 13.11.17, שעה: 16:59)  "
13.11.17,הרצחת וגם ירשת גרסת 2017 ,14:20,"המדינה הסירה אחריות מהמאבק הלאומי להצלת חיי אדם בכבישים ומעבירה אותו אלינו, האזרחים ","ארז קיטה, מנכ""ל אור ירוק  (תאריך: 13.11.17, שעה: 14:20) "
10.11.17,שמים עליהם פסים: כך מזניחים מעברי החציה ומסכנים אזרחים ותיקים  ,11:31,"הולכי רגל מעל גיל 65 נפגעים בתאונות דרכים הרבה יותר מחלקם באוכלוסייה. למרות זאת, מעברי חציה שבהם הם משתמשים ביתר שאת אינם מתוחזקים. בדיקת ","אסף זגריזק  (תאריך: 10.11.17, שעה: 11:31)  "
10.11.17,הקטל בדרכים: הרוגה רביעית בפחות מיממה ,09:36,"אחרי יום קטלני עם שלושה הרוגים אתמול, הולכת רגל כבת 70 נפצעה אנוש מפגיעת רכב בראשון לציון ונלכדה מתחתיו. היא חולצה בעזרת מלגזה, אך פרמדיקים ","ynet  (תאריך: 10.11.17, שעה: 09:36) "
10.11.17,"התנגשות חזיתית קטלנית ליד מצפה רמון: בן 17 נהרג, 3 ילדים פצועים ",00:22,"שני כלי רכב התנגשו חזיתית בקטע שבין בה""ד 1 למצפה רמון. מסוקים הוזעקו לטפל בפצועים, בהם ילדות בין הגילאים 4 ל-8. בשתי תאונות קטלניות מוקדם ","אילנה קוריאל ואלי סניור  (תאריך: 10.11.17, שעה: 00:22) "
06.11.17,נפגעת תאונה תפוצה אף שידעה שלנהג אין רישיון  ,18:28,"בתאונה בבת ים נהרג הנהג וחברתו נפצעה קשה. קרן ""קרנית"" סירבה לשלם לה, אבל בית המשפט בחור להכריע לפי תכליתו הסוציאלית של החוק  ","עו""ד שלמה הרדי  (תאריך: 06.11.17, שעה: 18:28) "
05.11.17,אישה נהרגה בתאונה חזיתית בעוטף עזה ,15:24,"פרמדיקים של מד""א נאלצו לקבוע את מותה של אישה בת 60 שהייתה מעורבת בתאונה בין רכב למשאית בכביש 232 סמוך לצומת מבטחים. מוקדם יותר נפצע קשה בן ","כתבי ynet  (תאריך: 05.11.17, שעה: 15:24) "
30.10.17,הקטל בכבישים: 100 משאיות הורדו מהכביש ,20:24,"60 בני אדם נהרגו השנה בתאונות שבהן היו מעורבות משאיות, למרות שהן מהוות רק 3% מכלי הרכב בישראל. מבצע בדרכים מנסה לצמצם את ממדי התופעה ולהרחיק ","אסף זגריזק  (תאריך: 30.10.17, שעה: 20:24)  "
29.10.17,דריסת הנערה ליד סינמה סיטי: הנהגת הואשמה בהריגה ,11:19,"אור סיהאצ'י מראשון לציון חצתה במאי צומת בעיר באור אדום ופגעה עם רכבה שהתהפך בשתי הולכות רגל. אחת מהן, ליאל בבלר (16), מתה ארבעה ימים אחרי ","גלעד מורג  (תאריך: 29.10.17, שעה: 11:19)  "
26.10.17,יממה שחורה בכבישים: שלושה הרוגים במרכז ,08:25,"יארא חמאדי, בת 20 משפרעם שרכבה על אופניים חשמליים, נהרגה הלילה בדרך נמיר בתל אביב. כחצי שעה אחר כך נהרג רוכב אופנוע בראשון לציון. הבוקר: ","אלי סניור וחסן שעלאן  (תאריך: 26.10.17, שעה: 08:25)  "
23.10.17,הרוג פלסטיני בתאונה ליד יקיר בשומרון ,08:28,התנגשות בין משאית לכמה כלי רכב בכביש 5066 בשומרון. פלסטיני נוסף נפצע קשה. במכונית ישראלית שהייתה מעורבת נפצעה נוסעת באורח בינוני ,"אלישע בן קימון  (תאריך: 23.10.17, שעה: 08:28) "
23.10.17,"""פשוט נס"": הצעיר שנפצע אנושות בתאונה התאושש תוך שעות ",00:27,"אליאס כראם בן ה-19 התנגש במשאית ונפגע באורח קשה ביותר בליבו, שפסק לפעום. למזלו, אחים מבית-החולים ברמב""ם עברו במקום ומיהרו לטפל בו כל הדרך עד ","אחיה ראב""ד  (תאריך: 23.10.17, שעה: 00:27) "
22.10.17,"המורות נהרגו יחד בתאונה: ""גם במותן לא נפרדו"" ",10:42,"אחרי שבועיים של מאבק על חייה נפטרה אמש שרה לונדון, תושבת סוסיא, שנפצעה בתאונה באזור ים המלח יחד עם חברתה אירית זר שנהרגה. השתיים היו חברות ","אלישע בן קימון וישי פורת  (תאריך: 22.10.17, שעה: 10:42)  "
21.10.17,"אופנוען התנגש ברכב, עף ונפגע מרכב נוסף - ונהרג ",00:24,"צוותי מד""א שהוזעקו למקום ביצעו ברוכב האופנוע, כבן 70, פעולות החייאה תוך פינויו במסוק לבית חולים אך נאלצו לקבוע את מותו. מחקירה ראשונית עולה ","אחיה ראב""ד וחסן שעלאן  (תאריך: 21.10.17, שעה: 00:24) "
19.10.17,מחקר: רופאים לא מדווחים על נהגים שמסכנים את כולנו  ,09:26,"רופאים נדרשים לדווח על מטופלים שכשירות נהיגתם מוטלת בספק, אך המצבים הרפואיים הרבים שמצריכים דיווח ותחושת הנאמנות למטופל גורמים לכך שרק אחוז ","איתי עמיקם  (תאריך: 19.10.17, שעה: 09:26) "
17.10.17,"שמעו שקרוב משפחתם נורה, פרצו מחסום - והתנגשו ברכבת ",21:17,"טרגדיה בלוד: גבר בן 46 נפצע אנוש מירי ברחוב בן יהודה בעיר. שלושה מקרוביו, שדווחו על הירי, נסעו במהירות ברכב מסחרי לזירה, פרצו מחסום ונפגעו ","כתבי ynet  (תאריך: 17.10.17, שעה: 21:17)  "
16.10.17,"בן שנתיים נהרג מפגיעת מכונית בחצר: ""אסון מזעזע"" ",21:45,"ג'וד עתאמנה שיחק על אופניו מחוץ לבית בבקה אל-גרבייה כשנפגע ממכונית שבה נהגה קרובת משפחה. שכן סיפר: ""הוריו לא מעכלים, קשה לדבר איתם"" ","חסן שעלאן  (תאריך: 16.10.17, שעה: 21:45) "
16.10.17,"רס""מ יוסף חלבי נהרג על האופנוע: ""הלב נקרע"" ",18:14,"בתאונת הדרכים בירושלים מת שוטר בן 29 מדליית אל-כרמל. הוא הותיר אחריו הורים ושלושה אחים ואחיות. ראש המועצה רפיק חלבי: ""רעם הכה בנו"". נקבע ","כתבי ynet  (תאריך: 16.10.17, שעה: 18:14)  "
16.10.17,הרוג ושני פצועים קשה בתאונה בירושלים ,14:19,התאונה אירעה בין כלי רכב לאופנוע ברחוב בצלאל בזק סמוך לצומת ניות בבירה. בן 30 נהרג ועוד שניים נפצעו קשה ופונו לבית החולים שערי צדק. בהתנגשות ,"ישי פורת  (תאריך: 16.10.17, שעה: 14:19)  "
15.10.17,חג קטלני: 10 הרוגים בסוכות בכבישים ,14:51,"מתחילת החודש נהרגו בכבישים 17 בני אדם, 10 מהם בימי חופשת סוכות. עם זאת, מניין ההרוגים מתחילת השנה עומד על 298, ירידה לעומת התקופה המקבילה ","נדב פאפו  (תאריך: 15.10.17, שעה: 14:51)  "
12.10.17,"ארה""ב תפרוש מאונסק""ו, חמאס ופתח חתמו הסכם והתוקפת מאיכילוב שוב ",18:41,"הטיה ממושכת נגד ישראל היא אחת הסיבות לפרישתה של ארה""ב מארגון האו""ם. ביומיים האחרונים נהרגו 5 בני אדם בשתי תאונות קטלניות בדרום. חמאס ופתח ","ynet  (תאריך: 12.10.17, שעה: 18:41)  "
12.10.17,"נהרגו בערב החג בכביש הדמים: ""חייבים לתקן את הליקויים"" ",00:05,"שני צעירים נהרגו בתאונה החזיתית היום בכביש 383, ומצטרפים לכ-150 נפגעים בכביש הזה בשנים האחרונות. בשנה שעברה הפגינו התושבים בדרישה להפוך את ","אסף זגריזק  (תאריך: 12.10.17, שעה: 00:05)  "
11.10.17,שני צעירים בני 18 נהרגו בתאונה באזור קריית מלאכי ,16:16,"תאונה חזיתית בין שני כלי רכב פרטיים בערב החג בכביש 383: שני הצעירים חולצו ללא רוח חיים מרכבם שהתהפך לתעלה, ושלושה צעירים נוספים משני הרכבים ","מתן צורי ורותם אליזרע  (תאריך: 11.10.17, שעה: 16:16)  "
11.10.17,"רוכב אופנוע נהרג ביפו, 4 פצועים קשה בתאונות בדרום ",13:58,יממה מדממת בכבישים: ביפו נהרג צעיר בן 23 מפגיעת רכב פרטי. בכביש 31 בנגב נפצעו שתי נוסעות רכב פרטי כבנות 50 באורח קשה מפגיעת משאית. באשקלון ,"איתי בלומנטל, אילנה קוריאל ומתן צורי  (תאריך: 11.10.17, שעה: 13:58)  "
10.10.17,"מחאה על כביש 581: ""מחכים לתאונת דרכים קטלנית?"" ",22:21,"הוא לא ארוך במיוחד, אבל הסכנות בכביש שעובר ליד עשרות יישובים הובילו ל-24 הרוגים ויותר מ-600 פצועים ב-14 שנה. רוב התאונות: חזית-צד. התושבים ","רענן בן צור  (תאריך: 10.10.17, שעה: 22:21)  "
09.10.17,תיעוד התאונה הקטלנית: אוטובוס החליק והתנגש חזיתית במשאית ,15:31,"תיעוד התאונה הקשה היום בבקעת הירדן, שבה נהרג נהג המשאית ונפצעו שישה, חושף את נזקי הגשם הראשון. האוטובוס נראה מגיע ממול ומחליק על הכביש הרטוב ","אלישע בן קימון  (תאריך: 09.10.17, שעה: 15:31)  "
08.10.17,מתלמיד בתיכון ליזם עסקי וחברתי ,11:20,"""בשלוש השנים האחרונות החיים שלי השתנו מקצה לקצה. נחשפתי לעולם היזמות העסקית והחברתית ונפתח בפניי צוהר לאפשרויות, הזדמנויות ושאיפות חדשות ","אור משהדי  (תאריך: 08.10.17, שעה: 11:20)  "
05.10.17,רוכב אופנוע נהרג בתאונה בצפון ,09:50,"הרוכב, בן 18 מאבו סנאן, נהרג בתאונה חזיתית עם רכב פרטי בצומת ירכא. נהג הרכב עוכב לחקירה. בפתח תקווה נפצע קשה רוכב אופניים חשמליים בתאונה ","חסן שעלאן ורענן בן צור  (תאריך: 05.10.17, שעה: 09:50) "
02.10.17,"תל אביב היא העיר המסוכנת ביותר לאזרחים ותיקים: ""מסוכן להזדקן כאן"" ",00:11,"העיר נמצאת בראש רשימת הערים שבהן נפגעים בני 65 ומעלה בתאונות דרכים. בשלוש השנים האחרונות כרבע מהולכי הרגל שנפגעו בתאונות היו אזרחים ותיקים, ","אסף זגריזק  (תאריך: 02.10.17, שעה: 00:11)  "
26.09.17,יפן מציעה לנהגים קשישים: ותרו על הרישיון תמורת הלוויה זולה ,10:57,"במדינה שבה האוכלוסייה הולכת ומזדקנת בקצב מהיר, שוברות הרשויות את הראש איך לעצור את תופעת תאונות הדרכים הקטלניות שנגרמות באשמת נהגים מבוגרים, ","AFP  (תאריך: 26.09.17, שעה: 10:57) "
23.09.17,נער כבן 15 נהרג בתאונה באזור ביתר עילית ,00:54,"ארבעה נפגעו בתאונה חזיתית בין שני כלי רכב בכביש עוקף חוסאן, בהם הנער שנהרג ואישה בת 44 שנפצעה קשה. ""ראינו על הכביש שני כלי רכב שנמעכו ","איתי בלומנטל  (תאריך: 23.09.17, שעה: 00:54) "
20.09.17,"נעצר חשוד בתאונת ""פגע וברח"" שבה נהרג פעוט ",08:44,"בני משפחתו של הפעוט, שהיו במהלכה של מסיבה משפחתית בשבת האחרונה בביתם בכסייפה שבנגב, איתרו אותו בשביל המוביל לבית. בבית החולים נקבע מותו של ","אילנה קוריאל  (תאריך: 20.09.17, שעה: 08:44) "
18.09.17,משרד התחבורה הסתיר מידע וישלם 4 מיליון שקל ,23:58,המועצה הלאומית למניעת תאונות דרכים זכתה במכרז להעברת קורסי ריענון. אלא שנוהל שהשתנה גרם לה להפסדי ענק על רקע הפחתת מספר הנהגים  ,"עו""ד ניר בחרי  (תאריך: 18.09.17, שעה: 23:58) "
15.09.17,רוכב אופניים במצב אנוש לאחר שנפגע מרכב בתל אביב ,01:08,"צוותי מד""א פינו את הרוכב, בן 25, לבית החולים איכילוב תוך פעולות החייאה. הוא סובל מפגיעת ראש ומפגיעה רב-מערכתית. שלשום נהרג הולך רגל בעיר ","איתי בלומנטל  (תאריך: 15.09.17, שעה: 01:08) "
13.09.17,"נחנכה היחידה לאכיפת רכב כבד: ""גם חברות ישלמו מחיר"" ",18:40,"המעורבות העצומה של משאיות ואוטובוסים בתאונות דרכים קטלניות הובילה להקמת יחידה במשטרת התנועה, שתפעל מול נהגים סוררים ובעלי החברות. השר ","אסף זגריזק  (תאריך: 13.09.17, שעה: 18:40)  "
11.09.17,תאונת עבודה בכביש 6: עובד נהרג מפגיעת משאית  ,01:52,"משאית שנסעה לאחור באתר עבודות סמוך למחלף קסם פגעה בשוגג בעובד שמתח סרט סימון. צוות מד""א שהגיע למקום קבע את מותו ","רענן בן צור  (תאריך: 11.09.17, שעה: 01:52) "
06.09.17,תיעוד: הגולשים שחצו בריצה שמונה נתיבים בכביש החוף ,12:22,"שני צעירים החליטו לחצות את הכביש המהיר במחלף רבין בכפר שמריהו במקום אסור, וגרמו לבלימות פתע ולסטייה מהנתיב של מכוניות. מצלמה שהוצבה במקום ","רענן בן צור  (תאריך: 06.09.17, שעה: 12:22)  "
05.09.17,"חודש אוגוסט: צניחה בכמות ההרוגים, העלייה מתחילת השנה נמשכת ",12:02,"החודש האחרון של החופש הגדול הסתיים עם 21 הרוגים, ירידה חדה לעומת אוגוסט אשתקד שבו נהרגו 34 ישראלים. עם זאת, מתחילת השנה נמשכת העלייה במניין ","רון נוטקין, אטילה שומפלבי ואלכסנדרה לוקש  (תאריך: 05.09.17, שעה: 12:02)  "
05.09.17,"מחקר: נהגים מקצועיים ש""אוהבים לריב"" מעורבים יותר בתאונות ",08:29,"לפי המחקר שנערך באוניברסיטת חיפה וכלל 83 נהגים מקצועיים, ככל שהנהגים נטו לקחת חלק ביותר אינטראקציות שליליות בינם לבין עמיתיהם הנהגים, כך גבר ","אסף זגריזק  (תאריך: 05.09.17, שעה: 08:29) "
05.09.17,קיץ קטלני: 37 ילדים הרוגים בחודשיים האחרונים ,07:47,"קיץ הרה אסון עבור ילדי ישראל. בעוד הממוצע השנתי של תמותת ילדים ובני נוער בחופש הגדול עומד על 23 אבידות, דו""ח של ארגון ""בטרם"" מגלה עלייה ","רותם אליזרע  (תאריך: 05.09.17, שעה: 07:47) "
